district,general_locations
D01,"Raffles Place, Cecil, Marina, People's Park"
D02,"Anson, Tanjong Pagar"
D03,"Queenstown, Tiong Bahru"
D04,"Telok Blangah, Harbourfront"
D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
D06,"High Street, Beach Road (part)"
D07,"Middle Road, Golden Mile"
D08,Little India
D09,"Orchard, Cairnhill, River Valley"
D10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
D11,"Watten Estate, Novena, Thomson"
D12,"Balestier, Toa Payoh, Serangoon"
D13,"Macpherson, Braddell"
D14,"Geylang, Eunos"
D15,"Katong, Joo Chiat, Amber Road"
D16,"Bedok, Upper East Coast, Eastwood, Kew Drive"
D17,"Loyang, Changi"
D18,"Tampines, Pasir Ris"
D19,"Serangoon Garden, Hougang, Ponggol"
D20,"Bishan, Ang Mo Kio"
D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
D22,Jurong
D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
D24,"Lim Chu Kang, Tengah"
D25,"Kranji, Woodgrove"
D26,"Upper Thomson, Springleaf"
D27,"Yishun, Sembawang"
D28,Seletar
