amenities,beds,developer,district,electoral_div,lease,name,nearest_mrt_name,neighbourhood,property_type,rental,sqft,tenure,travel_time_changi,travel_time_orchard,travel_time_raffles,furnishing,amenities_count,nearest_mrt_dist_min,nearest_mrt_dist_metres,freehold_status,rental_log
"'Clubhouse', 'Gym', 'Spa Pool', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Playground', 'Parking', 'Security', 'Lap Pool', 'BBQ''",3,Grange Properties Pte Ltd (Chip Eng Seng Corporation Ltd),D09,Tanjong Pagar,Flexible,Grange Infinite,Somerset MRT,River Valley,Condo,9500,2100,Freehold,53,12,16,Unknown,12,5,19,Freehold,9.159047077588632
"'Aircon', 'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Fibre Ready', 'Lap Pool', 'BBQ''",3,Devonshire Development Pte Ltd,D09,Tanjong Pagar,Flexible,The Suites @ Central,Somerset MRT,River Valley,Condo,7000,1399,Freehold,56,12,13,Unknown,12,3,62,Freehold,8.85366542803745
"'Bathtub', 'Aircon', 'Maid Room', 'Gym', 'Parking', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming Pool', 'Wading Pool', 'Dryer', 'Playground', 'Dining Room Furniture', 'High Floor', 'Washer', 'Pool View', 'Security', 'BBQ', 'Balcony''",3,Ue One-North Developments Pte Ltd,D05,West Coast,greater_than_or_equal_24m,The Rochester Residences,Buona Vista MRT,Queenstown,Condo,6200,1948,99 Years,70,27,22,Fully Furnished,19,3,75,Non-Freehold,8.732304571033183
"'Jogging Track', 'Multi-purpose Hall', 'Hammocks', 'Aerobic Pool', 'Reflexology Path', 'Gym', 'Pool Deck', 'Viewing Deck', 'Clubhouse', 'Wading Pool', 'Waterfall', 'Fountain', 'Playground', 'Bridge', 'Outdoor Dining', 'Lap Pool', 'BBQ''",2,MCL Land (Prestige),D22,Jurong,Flexible,Lakeville,,Jurong West,Condo,2800,775,99 Years,85,46,39,Unknown,17,none_nearby,none_nearby,Non-Freehold,7.937374696163295
"'Security', 'Jacuzzi', 'Lap Pool', 'Tennis Court''",1,Bayshore Green Pte Ltd,D15,Marine Parade,Flexible,The Seawind,,Bedok,Condo,2400,635,Freehold,46,41,34,Unknown,4,none_nearby,none_nearby,Freehold,7.783224016336037
"'Closet', 'Aircon', 'TV', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Dryer', 'Oven', 'Parking', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Security', 'Balcony''",1,,D22,Yuhua,greater_than_or_equal_24m,J Gateway,Jurong East MRT,Jurong East,Condo,2500,474,99 Years,78,38,31,Fully Furnished,15,2,78,Non-Freehold,7.824046010856292
"'Clubhouse', 'Greenery View', 'Fridge', 'Sauna', 'Jacuzzi', 'Swimming Pool', 'Wading Pool', 'Dryer', 'Steam Room', 'Playground', 'Oven', 'Parking', 'Washer', 'Lap Pool', 'Security', 'BBQ''",4,Far East Organization,D09,Tanjong Pagar,greater_than_or_equal_24m,Skyline @ Orchard Boulevard,Orchard MRT,River Valley,Condo,15900,2067,Freehold,55,5,15,Unknown,16,4,46,Freehold,9.674074388208323
"'Gym', 'Jacuzzi', 'Lap Pool', 'Wading Pool', 'BBQ''",2,Capital Group,D10,Tanjong Pagar,Flexible,The Arc At Draycott,,Newton,Condo,4980,1130,Freehold,54,7,19,Unknown,5,none_nearby,none_nearby,Freehold,8.513185170018698
"'Fun Pool', 'Clubhouse', 'Yoga Corner', 'Sky Lounge', 'Water Feature', 'Gym', 'Timber Deck', 'Library', 'Concierge', 'Wading Pool', 'Jacuzzi', 'Function Room', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'Games Room''",1,City Developments Ltd,D01,Jalan Besar,Flexible,One Shenton,Downtown MRT,None,Condo,3800,818,99 Years,51,25,14,Unknown,17,2,4,Non-Freehold,8.242756345714477
"'Clubhouse', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'BBQ''",1,Orchard Suites Residence Pte Ltd,D09,Tanjong Pagar,Flexible,Devonshire Residences,Somerset MRT,River Valley,Condo,3000,495,Freehold,53,11,12,Unknown,10,2,92,Freehold,8.006367567650246
