iter	RMSE
0	0.4864317708
1	0.4339692729
2	0.3907393132
3	0.3557268418
4	0.3231893162
5	0.2970247806
6	0.2742838293
7	0.2556077434
8	0.2400760482
9	0.2277815271
10	0.2178921813
11	0.2094699695
12	0.2010055833
13	0.1951236822
14	0.1901447036
15	0.1851569654
16	0.1826013292
17	0.1798605887
18	0.1762079955
19	0.1735683776
20	0.1706831124
21	0.1678141312
22	0.165232205
23	0.1639776351
24	0.1622117829
25	0.1601373312
26	0.1588903629
27	0.1572584462
28	0.1559408998
29	0.1546066705
30	0.153265221
31	0.1522731159
32	0.1514973779
33	0.1507290626
34	0.1495375015
35	0.1489018645
36	0.1482585012
37	0.1475932625
38	0.1463661897
39	0.1453139887
40	0.1446926099
41	0.1429168378
42	0.141992772
43	0.1411324
44	0.1388856729
45	0.1383327548
46	0.1364013919
47	0.1355247287
48	0.134671222
49	0.1335801849
50	0.1330036597
51	0.1321504432
52	0.1313338615
53	0.1309263825
54	0.1304723081
55	0.1300300134
56	0.1294648962
57	0.1289623176
58	0.1284567498
59	0.1279713709
60	0.1272615515
61	0.1265957761
62	0.1250763206
63	0.1241829744
64	0.1237039506
65	0.1229182828
66	0.1220735354
67	0.1216055759
68	0.1209057151
69	0.1205897072
70	0.1196221017
71	0.1188491623
72	0.1181963458
73	0.1174826212
74	0.1167192786
75	0.1163770213
76	0.1157665512
77	0.1151781444
78	0.1147334626
79	0.1138793407
80	0.1134758514
81	0.1126842031
82	0.1123421528
83	0.1116417128
84	0.1111932775
85	0.110601626
86	0.1101728601
87	0.1098542921
88	0.1093502995
89	0.1087838963
90	0.1082563549
91	0.1078522672
92	0.1072410207
93	0.1067977237
94	0.1064074145
95	0.1061010762
96	0.1055158149
97	0.1051992762
98	0.1049669358
99	0.1045342676
