iter	Passed	Remaining
0	203	20112
1	239	11713
2	270	8736
3	274	6592
4	305	5807
5	330	5170
6	367	4878
7	391	4507
8	420	4255
9	449	4047
10	482	3905
11	509	3737
12	535	3583
13	561	3446
14	587	3326
15	624	3277
16	638	3115
17	670	3055
18	699	2982
19	729	2917
20	762	2870
21	792	2808
22	821	2749
23	848	2685
24	873	2620
25	903	2570
26	929	2512
27	957	2463
28	986	2414
29	1015	2369
30	1041	2318
31	1069	2273
32	1096	2226
33	1123	2181
34	1158	2152
35	1184	2106
36	1211	2063
37	1238	2021
38	1267	1983
39	1295	1942
40	1320	1899
41	1345	1857
42	1371	1817
43	1395	1776
44	1421	1737
45	1447	1699
46	1475	1663
47	1501	1626
48	1530	1593
49	1560	1560
50	1586	1523
51	1615	1491
52	1649	1463
53	1689	1439
54	1729	1415
55	1767	1388
56	1798	1356
57	1831	1326
58	1858	1291
59	1885	1256
60	1916	1225
61	1945	1192
62	1971	1158
63	2004	1127
64	2030	1093
65	2057	1059
66	2082	1025
67	2115	995
68	2147	964
69	2173	931
70	2199	898
71	2225	865
72	2255	834
73	2280	801
74	2308	769
75	2335	737
76	2361	705
77	2386	673
78	2410	640
79	2438	609
80	2464	578
81	2494	547
82	2525	517
83	2551	485
84	2576	454
85	2604	423
86	2629	392
87	2655	362
88	2681	331
89	2710	301
90	2738	270
91	2765	240
92	2796	210
93	2825	180
94	2852	150
95	2877	119
96	2907	89
97	2936	59
98	2963	29
99	2988	0
